frame,tx,ty,tz
97,-0.0251303,-0.564516,-1.86527
98,-0.0251303,-0.564516,-1.86527
99,-0.0251303,-0.564516,-1.86527
100,-0.0251303,-0.564516,-1.86527
101,-0.0251303,-0.564516,-1.86527
102,-0.0251303,-0.564516,-1.86527
103,-0.0251303,-0.564516,-1.86527
104,-0.0251303,-0.564516,-1.86527
105,-0.0251303,-0.564516,-1.86527
106,-0.0251303,-0.564516,-1.86527
107,-0.0251303,-0.564516,-1.86527
108,-0.0251303,-0.564516,-1.86527
109,-0.0251303,-0.564516,-1.86527
110,-0.0251303,-0.564516,-1.86527
111,-0.0251303,-0.564516,-1.86527
112,-0.0251303,-0.564516,-1.86527
113,-0.0251303,-0.564516,-1.86527
114,-0.0251303,-0.564516,-1.86527
115,-0.0251303,-0.564516,-1.86527
116,-0.0251303,-0.564516,-1.86527
117,-0.0251303,-0.564516,-1.86527
118,-0.0251303,-0.564516,-1.86527
119,-0.0251303,-0.564516,-1.86527
120,-0.0251303,-0.564516,-1.86527
121,-0.0251303,-0.564516,-1.86527
122,-0.0251303,-0.564516,-1.86527
123,-0.0251303,-0.564516,-1.86527
124,-0.0251303,-0.564516,-1.86527
125,-0.0251303,-0.564516,-1.86527
126,-0.0251303,-0.564516,-1.86527
127,-0.0251303,-0.564516,-1.86527
128,-0.0251303,-0.564516,-1.86527
129,-0.0251303,-0.564516,-1.86527
130,-0.0251303,-0.564516,-1.86527
131,-0.0251303,-0.564516,-1.86527
132,-0.0251303,-0.564516,-1.86527
133,-0.0251303,-0.564516,-1.86527
134,-0.0251303,-0.564516,-1.86527
135,-0.0251303,-0.564516,-1.86527
136,-0.0251303,-0.564516,-1.86527
137,-0.0251303,-0.564516,-1.86527
138,-0.0251303,-0.564516,-1.86527
139,-0.0251303,-0.564516,-1.86527
140,-0.0251303,-0.564516,-1.86527
141,-0.0251303,-0.564516,-1.86527
142,-0.0251303,-0.564516,-1.86527
143,-0.0251303,-0.564516,-1.86527
144,-0.0251303,-0.564516,-1.86527
145,-0.0251303,-0.564516,-1.86527
146,-0.0251303,-0.564516,-1.86527
147,-0.0251303,-0.564516,-1.86527
148,-0.0251303,-0.564516,-1.86527
149,-0.0251303,-0.564516,-1.86527
150,-0.0251303,-0.564516,-1.86527
151,-0.0251303,-0.564516,-1.86527
152,-0.0251303,-0.564516,-1.86527
153,-0.0251303,-0.564516,-1.86527
154,-0.0251303,-0.564516,-1.86527
155,-0.0251303,-0.564516,-1.86527
156,-0.0251303,-0.564516,-1.86527
157,-0.0251303,-0.564516,-1.86527
158,-0.0251303,-0.564516,-1.86527
159,-0.0251303,-0.564516,-1.86527
